date change,STATUS,voorveerkit,achterveerkit,combikit,MERK,TYPE,Year,FORK HYPERPRO NR,FORK HYPERPRO OIL,OILLEVEL,FORK SPRING PRELOAD,FORK STATIC SAG,FORK COMPRESION,FORK REBOUND,FORK EXTRA INFO,REAR HYPERPRO NR,REAR SPRING PRELOAD,REAR STATIC SAG,REAR COMPRESION,REAR REBOUND,REAR EXTRA INFO,PROD_EXTRA_INF,chassis nummer,eu nummer
2024-06-21,,SP-AJ06-SSA001,SP-AJ06-SSB001,SP-AJ06-SSC001,AJP,PR7,17-24,1407,"2x SAE 7,5",160 MM,NOT ADJUSTABLE,,NOT ADJUSTABLE,NOT ADJUSTABLE,,0579+ 2xLP164710,5 MM,,,,USE THE STROKE LIMITERS AS THE OEM SHOCK HAS TO MUCH STROKE FOR THE SYSTEM.,,,
,,SP-AP02-SSF001,SP-AP02-SSB001,SP-AP02-SSK001,APRILIA,RS 250 (EXTREMA),95-97<,0316,SAE 15,110 MM,2 - 3 R. OUT,25 MM,NOT ADJUSTABLE,1 - 3 CLICKS OPEN,USE ORG 205 MM PLASTIC BUSH,0182,10 MM,12 MM,8 - 15 CLICKS OPEN,10 - 14 K. OPEN,,,LD01,
,,SP-AP00-SSF001,SP-AP00-SSG001,SP-AP00-SSJ001,APRILIA,SR (SCOOTER / 49 CC),94>,0255,SAE 15,100 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,NOT ADJUSTABLE,NOT ADJUSTABLE,,0254,NOT ADJUSTABLE,10 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,PLEASE CONTACT HYPERPRO HOLLAND IF MOUNTING THE SPRING TO THE SHOCKABSORBER CAUSES PROBLEMS.,,,
2022-09-06,,SP-AP02-SSA002,SP-AP02-SSB002,SP-AP02-SSC002,APRILIA,RS 250 REPLICA,98 -02,0401,"SAE 7,5",120 MM,5-7 R.OUT,20 MM,1.75 CLICK OPEN  +/- 0.5,2. CLICK OPEN +/- 0.5,REMOVE THE 75 MM METAL SPACER AND BOTH PLASTIC WASHERS!!!,0182,10 MM,12 MM,8 - 15 CLICK OPEN,10 - 14 CLICK OPEN,,,LD,
2023-03-21,,SP-AP02-SSA003,SP-AP02-SSD003,SP-AP02-SSE003,APRILIA,SR GT 200,22-23,1531,SAE 15,80 mm,Not adjustable,20 MM,Not adjustable,Not adjustable,"Yes the Hyperprospring should be 25,, shorter then OEM",1886,POS 1,5 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,yes the hyperpro rear spring should be 20mm shorter the OEM.,,,
2021-07-23,,SP-AP00-SSA002,,,APRILIA,RS50 (Marzocchi),99-04,0171,SAE 20,145 MM,NOT ADJUSTABLE,20 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,,,,,,,,,
2020-03-18,UD,SP-AP05-SSA001UD,,,APRILIA,ATLANTIC  (MARCOCCHI FORK?),01-04,1300,,,,,,,,,,,,,,,,
2025-05-23,,,SP-AP06-SSB011,,APRILIA,TUONO 660,21-24,1493,,,,,,,,1357,12 MM,10 MM,NOT ADJUSTABLE,7 CLICKS OPEN,,,,E49*168/2013*00059*
2021-10-12,ud,,,,APRILIA,NA 850 MANA (GT) (marzocchi fork),07-16,,,,,,,,,,,,,,,,,
2021-10-12,ud,,,,APRILIA,NA 850 MANA (GT) (sachs fork),07-16,,,,,,,,,,,,,,,,,
2025-03-19,,SP-AP06-SSA007,SP-AP06-SSB007,SP-AP06-SSC007,APRILIA,RS 660,21-25,1493,SAE 5,100 MM,2 RINGS OUT,26 MM,NOT ADJUSTABLE,15 CLICKS OPEN,,1357,12 MM,10 MM,NOT ADJUSTABLE,7 CLICKS OPEN,,,KS,E49*168/2013*00059*
2012-11-20,,SL-AP07-SSA003,,,APRILIA,"SHIVER 750 LINEAR 9,5 N/mm (showa fork)",08-13,1284,SAE 20,120 MM,NOT ADJUSTABLE,22 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,MOUNT THE FORK 10 MM = 2 RINGS THROUGH THE TRIPLE CLAMP (4MM STANDARD),,,,,,,,,
2012-11-20,,SL-AP07-SSA002,,,APRILIA,SHIVER 750 LINEAR 9 N/mm (showa fork),08-13,1283,SAE 20,120 MM,NOT ADJUSTABLE,23 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,MOUNT THE FORK 10 MM = 2 RINGS THROUGH THE TRIPLE CLAMP (4MM STANDARD),,,,,,,,,
2012-11-20,,SL-AP07-SSA001,,,APRILIA,"SHIVER 750 LINEAR 8,5 N/mm (showa fork)",08-13,1282,SAE 20,120 MM,NOT ADJUSTABLE,24 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,MOUNT THE FORK 10 MM = 2 RINGS THROUGH THE TRIPLE CLAMP (4MM STANDARD),,,,,,,,,
2021-10-12,,,SP-AP07-SSB004,,APRILIA,SHIVER 750  (marzocchi fork),07-16,,,,,,,,,1220,11 MM,10 MM,NOT ADJUSTABLE,8-11 K OPEN /IF PRESENT,,,,
2021-10-21,L,,SP-AP07-SSB001,,APRILIA,SHIVER 750 25 MM LOWER,08-15,,,,,,,,MOUNT THE FORK 28 MM = 6 RINGS THROUGH THE TRIPLE CLAMP (4MM STANDARD),1175,1 MM,26 MM,,10-13 K OPEN,,,,
2021-10-12,ud,,,,APRILIA,SHIVER 750 (sachs fork),07-15,,,,,,,,,,,,,,,,,
2021-10-12,,,SP-AP09-SSB003,,APRILIA,SHIVER 900 (kayaba fork),17-21,,,,,,,,,1220,11 MM,10 MM,NOT ADJUASTABLE,8-11 K OPEN /IF PRESENT,,,RA,
2012-11-20,,SL-AP07-SSA004,,,APRILIA,SHIVER 750 LINEAR 10 N/mm (showa fork),08-13,1285,SAE 20,120 MM,NOT ADJUSTABLE,21 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,MOUNT THE FORK 10 MM = 2 RINGS THROUGH THE TRIPLE CLAMP (4MM STANDARD),,,,,,,,,
2021-10-12,,SP-AP07-SSA002,SP-AP07-SSB002,SP-AP07-SSC002,APRILIA,SHIVER 750 (showa fork),08-13,1086,SAE 20,120 MM,NOT ADJUSTABLE,24 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,MOUNT THE FORK 10 MM = 2 RINGS THROUGH THE TRIPLE CLAMP (4MM STANDARD),1220,11 MM,10 MM,NOT ADJUASTABLE,8-11 K OPEN /IF PRESENT,,,RA,
2024-04-03,,SP-AP06-SSA001,SP-AP06-SSB001,SP-AP06-SSC001,APRILIA,PEGASO 650,97 -00,0018,SAE 10,180 MM,NOT ADJUSTABLE,28 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,USE ORGINAL 110 MM BUSH,0347,12 - 13 MM,20 MM,NOT ADJUSTABLE,7 - 9 CLICKS CLOCKWISE,,,MX00,
,,SP-AP06-SSA002,,,APRILIA,"MOTO 6,5",92-96,2018,"SAE 7,5",135 MM,NOT ADJUSTABLE,,NOT ADJUSTABLE,NOT ADJUSTABLE,REMOVE  original 165MM spacer,,,,,,,,MH00,H061
2025-03-19,L,SP-AP06-SSA008,SP-AP06-SSB008,SP-AP06-SSC008,APRILIA,RS 660 20 mm lower,21-25,0846,SAE 5,100 MM,5 RINGS OUT,35 MM,NOT ADJUSTABLE,15 CLICKS OPEN,YES THE SPRING SHOULD BE 10-15 MM SHORTER THEN ORIGINAL,1856,5 MM,30 MM,NOT ADJUSTABLE,7 CLICKS OPEN,,,KS,E49*168/2013*00059*
2025-10-26,,SP-AP06-SSA003,,,APRILIA,PEGASO 650 (MARZOCCHI ) DM 40 mm,94-96,2047,"SAE 7,5",160 MM,NOT ADJUSTABLE,,NOT ADJUSTABLE,NOT ADJUSTABLE,USE ORGINAL 110 MM BUSH,,,,,,,,ML,H523
2020-10-14,,SP-AP07-SSA003,SP-AP07-SSB003,SP-AP07-SSC003,APRILIA,SMV 750 DORSODURO (showa fork),08-16,1367,SAE 15,160 MM,2 RINGS OUT,30 MM,NOT ADJUSTABLE,"0,5-1 TURN OPEN",,1295,10 MM,10 MM,NOT ADJUSTABLE,15-20 K OPEN,,,SM,
2020-01-04,,SP-AP06-SSA004,SP-AP06-SSB004,SP-AP06-SSC004,APRILIA,PEGASO 650 STRADA (45 MM FORK),05-09,1566,2X SAE 10,150 MM,NOT ADJUSTABLE,30 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,MOUNT FORK 25 MM THROUGH TRIPLE CLAMP (MEASURED ON THE OUTSIDE),0681,POS-1-3,10-15 MM,NOT ADJUSTABLE,15 CLICKS,,,VD,
